no of terms 1.000000 
    time 	   actual 	      RK4 
1.140000 	 0.041759 	 0.041831 
1.150000 	 0.040849 	 0.040921 
1.160000 	 0.039934 	 0.040007 
1.170000 	 0.039015 	 0.039089 
1.180000 	 0.038092 	 0.038167 
1.190000 	 0.037166 	 0.037242 
1.200000 	 0.036236 	 0.036312 
1.210000 	 0.035302 	 0.035379 
1.220000 	 0.034365 	 0.034442 
1.230000 	 0.033424 	 0.033502 
1.240000 	 0.032480 	 0.032559 
1.250000 	 0.031532 	 0.031612 
1.260000 	 0.030582 	 0.030662 
1.270000 	 0.029628 	 0.029710 
1.280000 	 0.028672 	 0.028754 
1.290000 	 0.027712 	 0.027795 
1.300000 	 0.026750 	 0.026833 
1.310000 	 0.025785 	 0.025869 
1.320000 	 0.024818 	 0.024902 
1.330000 	 0.023848 	 0.023933 
1.340000 	 0.022875 	 0.022961 
1.350000 	 0.021901 	 0.021987 
1.360000 	 0.020924 	 0.021011 
1.370000 	 0.019945 	 0.020033 
1.380000 	 0.018964 	 0.019053 
1.390000 	 0.017981 	 0.018070 
1.400000 	 0.016997 	 0.017086 
1.410000 	 0.016010 	 0.016101 
1.420000 	 0.015023 	 0.015113 
1.430000 	 0.014033 	 0.014125 
1.440000 	 0.013042 	 0.013134 
1.450000 	 0.012050 	 0.012143 
1.460000 	 0.011057 	 0.011150 
1.470000 	 0.010063 	 0.010156 
1.480000 	 0.009067 	 0.009161 
1.490000 	 0.008071 	 0.008165 
1.500000 	 0.007074 	 0.007169 
1.510000 	 0.006076 	 0.006171 
1.520000 	 0.005077 	 0.005173 
1.530000 	 0.004079 	 0.004175 
1.540000 	 0.003079 	 0.003176 
1.550000 	 0.002079 	 0.002177 
1.560000 	 0.001080 	 0.001177 
1.570000 	 0.000080 	 0.000178 
1.580000 	 -0.000920 	 -0.000822 
1.590000 	 -0.001920 	 -0.001821 
1.600000 	 -0.002920 	 -0.002821 
1.610000 	 -0.003919 	 -0.003820 
1.620000 	 -0.004918 	 -0.004818 
1.630000 	 -0.005917 	 -0.005816 
1.640000 	 -0.006915 	 -0.006814 
1.650000 	 -0.007912 	 -0.007811 
1.660000 	 -0.008909 	 -0.008807 
1.670000 	 -0.009904 	 -0.009802 
1.680000 	 -0.010899 	 -0.010797 
1.690000 	 -0.011892 	 -0.011790 
1.700000 	 -0.012884 	 -0.012782 
1.710000 	 -0.013875 	 -0.013772 
1.720000 	 -0.014865 	 -0.014762 
1.730000 	 -0.015853 	 -0.015750 
1.740000 	 -0.016840 	 -0.016736 
1.750000 	 -0.017825 	 -0.017721 
1.760000 	 -0.018808 	 -0.018703 
1.770000 	 -0.019789 	 -0.019684 
1.780000 	 -0.020768 	 -0.020663 
1.790000 	 -0.021745 	 -0.021640 
1.800000 	 -0.022720 	 -0.022615 
1.810000 	 -0.023693 	 -0.023588 
1.820000 	 -0.024663 	 -0.024558 
1.830000 	 -0.025631 	 -0.025525 
1.840000 	 -0.026596 	 -0.026491 
1.850000 	 -0.027559 	 -0.027453 
1.860000 	 -0.028519 	 -0.028413 
1.870000 	 -0.029476 	 -0.029370 
1.880000 	 -0.030430 	 -0.030324 
1.890000 	 -0.031381 	 -0.031275 
1.900000 	 -0.032329 	 -0.032223 
1.910000 	 -0.033274 	 -0.033167 
1.920000 	 -0.034215 	 -0.034108 
1.930000 	 -0.035153 	 -0.035046 
1.940000 	 -0.036087 	 -0.035981 
1.950000 	 -0.037018 	 -0.036911 
1.960000 	 -0.037945 	 -0.037839 
1.970000 	 -0.038868 	 -0.038762 
1.980000 	 -0.039788 	 -0.039681 
1.990000 	 -0.040703 	 -0.040597 
2.000000 	 -0.041615 	 -0.041508 
2.010000 	 -0.042522 	 -0.042415 
2.020000 	 -0.043425 	 -0.043318 
2.030000 	 -0.044323 	 -0.044217 
2.040000 	 -0.045218 	 -0.045111 
2.050000 	 -0.046107 	 -0.046001 
2.060000 	 -0.046992 	 -0.046886 
2.070000 	 -0.047873 	 -0.047767 
2.080000 	 -0.048748 	 -0.048642 
2.090000 	 -0.049619 	 -0.049513 
2.100000 	 -0.050485 	 -0.050379 
2.110000 	 -0.051345 	 -0.051240 
2.120000 	 -0.052201 	 -0.052096 
2.130000 	 -0.053051 	 -0.052946 
2.140000 	 -0.053896 	 -0.053791 
2.150000 	 -0.054736 	 -0.054631 
2.160000 	 -0.055570 	 -0.055466 
2.170000 	 -0.056399 	 -0.056294 
2.180000 	 -0.057221 	 -0.057118 
2.190000 	 -0.058039 	 -0.057935 
2.200000 	 -0.058850 	 -0.058747 
2.210000 	 -0.059656 	 -0.059553 
2.220000 	 -0.060455 	 -0.060353 
2.230000 	 -0.061249 	 -0.061147 
2.240000 	 -0.062036 	 -0.061934 
2.250000 	 -0.062817 	 -0.062716 
2.260000 	 -0.063592 	 -0.063491 
2.270000 	 -0.064361 	 -0.064260 
2.280000 	 -0.065123 	 -0.065023 
2.290000 	 -0.065879 	 -0.065779 
2.300000 	 -0.066628 	 -0.066528 
2.310000 	 -0.067370 	 -0.067271 
2.320000 	 -0.068106 	 -0.068007 
2.330000 	 -0.068834 	 -0.068736 
2.340000 	 -0.069556 	 -0.069459 
2.350000 	 -0.070271 	 -0.070174 
2.360000 	 -0.070979 	 -0.070883 
2.370000 	 -0.071680 	 -0.071584 
2.380000 	 -0.072374 	 -0.072278 
2.390000 	 -0.073060 	 -0.072965 
2.400000 	 -0.073739 	 -0.073645 
2.410000 	 -0.074411 	 -0.074317 
2.420000 	 -0.075075 	 -0.074982 
2.430000 	 -0.075732 	 -0.075640 
2.440000 	 -0.076382 	 -0.076290 
2.450000 	 -0.077023 	 -0.076932 
2.460000 	 -0.077657 	 -0.077567 
2.470000 	 -0.078283 	 -0.078193 
2.480000 	 -0.078901 	 -0.078812 
2.490000 	 -0.079512 	 -0.079424 
2.500000 	 -0.080114 	 -0.080027 
2.510000 	 -0.080709 	 -0.080622 
2.520000 	 -0.081295 	 -0.081209 
2.530000 	 -0.081873 	 -0.081788 
2.540000 	 -0.082444 	 -0.082359 
2.550000 	 -0.083005 	 -0.082922 
2.560000 	 -0.083559 	 -0.083476 
2.570000 	 -0.084104 	 -0.084022 
2.580000 	 -0.084641 	 -0.084560 
2.590000 	 -0.085169 	 -0.085089 
2.600000 	 -0.085689 	 -0.085610 
2.610000 	 -0.086200 	 -0.086122 
2.620000 	 -0.086703 	 -0.086625 
2.630000 	 -0.087197 	 -0.087120 
2.640000 	 -0.087682 	 -0.087607 
2.650000 	 -0.088158 	 -0.088084 
2.660000 	 -0.088626 	 -0.088553 
2.670000 	 -0.089085 	 -0.089013 
2.680000 	 -0.089534 	 -0.089463 
2.690000 	 -0.089975 	 -0.089905 
2.700000 	 -0.090407 	 -0.090338 
2.710000 	 -0.090830 	 -0.090762 
2.720000 	 -0.091244 	 -0.091177 
2.730000 	 -0.091648 	 -0.091583 
2.740000 	 -0.092044 	 -0.091980 
2.750000 	 -0.092430 	 -0.092367 
2.760000 	 -0.092807 	 -0.092746 
2.770000 	 -0.093175 	 -0.093115 
2.780000 	 -0.093533 	 -0.093474 
2.790000 	 -0.093883 	 -0.093825 
2.800000 	 -0.094222 	 -0.094166 
2.810000 	 -0.094553 	 -0.094497 
2.820000 	 -0.094873 	 -0.094819 
2.830000 	 -0.095185 	 -0.095132 
2.840000 	 -0.095486 	 -0.095435 
2.850000 	 -0.095779 	 -0.095729 
2.860000 	 -0.096061 	 -0.096013 
2.870000 	 -0.096334 	 -0.096288 
2.880000 	 -0.096598 	 -0.096553 
2.890000 	 -0.096852 	 -0.096808 
2.900000 	 -0.097096 	 -0.097053 
2.910000 	 -0.097330 	 -0.097289 
2.920000 	 -0.097555 	 -0.097516 
2.930000 	 -0.097770 	 -0.097732 
2.940000 	 -0.097975 	 -0.097939 
2.950000 	 -0.098170 	 -0.098136 
2.960000 	 -0.098356 	 -0.098323 
2.970000 	 -0.098531 	 -0.098500 
2.980000 	 -0.098697 	 -0.098668 
2.990000 	 -0.098853 	 -0.098825 
3.000000 	 -0.098999 	 -0.098973 
3.010000 	 -0.099135 	 -0.099111 
3.020000 	 -0.099262 	 -0.099239 
3.030000 	 -0.099378 	 -0.099357 
3.040000 	 -0.099484 	 -0.099465 
3.050000 	 -0.099581 	 -0.099563 
3.060000 	 -0.099667 	 -0.099652 
3.070000 	 -0.099744 	 -0.099730 
3.080000 	 -0.099810 	 -0.099798 
3.090000 	 -0.099867 	 -0.099857 
3.100000 	 -0.099914 	 -0.099905 
3.110000 	 -0.099950 	 -0.099944 
3.120000 	 -0.099977 	 -0.099972 
3.130000 	 -0.099993 	 -0.099991 
3.140000 	 -0.100000 	 -0.099999 
3.150000 	 -0.099996 	 -0.099998 
3.160000 	 -0.099983 	 -0.099987 
3.170000 	 -0.099960 	 -0.099965 
3.180000 	 -0.099926 	 -0.099934 
3.190000 	 -0.099883 	 -0.099892 
3.200000 	 -0.099829 	 -0.099841 
3.210000 	 -0.099766 	 -0.099780 
3.220000 	 -0.099693 	 -0.099708 
3.230000 	 -0.099609 	 -0.099627 
3.240000 	 -0.099516 	 -0.099536 
3.250000 	 -0.099413 	 -0.099435 
3.260000 	 -0.099300 	 -0.099324 
3.270000 	 -0.099177 	 -0.099203 
3.280000 	 -0.099044 	 -0.099072 
3.290000 	 -0.098901 	 -0.098931 
3.300000 	 -0.098748 	 -0.098781 
3.310000 	 -0.098585 	 -0.098620 
3.320000 	 -0.098413 	 -0.098450 
3.330000 	 -0.098230 	 -0.098270 
3.340000 	 -0.098038 	 -0.098080 
3.350000 	 -0.097836 	 -0.097880 
3.360000 	 -0.097624 	 -0.097671 
3.370000 	 -0.097403 	 -0.097451 
3.380000 	 -0.097172 	 -0.097222 
3.390000 	 -0.096931 	 -0.096984 
3.400000 	 -0.096680 	 -0.096735 
3.410000 	 -0.096419 	 -0.096477 
3.420000 	 -0.096149 	 -0.096209 
3.430000 	 -0.095870 	 -0.095932 
3.440000 	 -0.095581 	 -0.095645 
3.450000 	 -0.095282 	 -0.095349 
3.460000 	 -0.094974 	 -0.095043 
3.470000 	 -0.094656 	 -0.094727 
3.480000 	 -0.094328 	 -0.094403 
3.490000 	 -0.093992 	 -0.094068 
3.500000 	 -0.093646 	 -0.093725 
3.510000 	 -0.093290 	 -0.093371 
3.520000 	 -0.092925 	 -0.093009 
3.530000 	 -0.092551 	 -0.092637 
3.540000 	 -0.092168 	 -0.092256 
3.550000 	 -0.091775 	 -0.091866 
3.560000 	 -0.091374 	 -0.091467 
3.570000 	 -0.090963 	 -0.091059 
3.580000 	 -0.090543 	 -0.090641 
3.590000 	 -0.090114 	 -0.090214 
3.600000 	 -0.089676 	 -0.089779 
3.610000 	 -0.089229 	 -0.089334 
3.620000 	 -0.088773 	 -0.088881 
3.630000 	 -0.088308 	 -0.088418 
3.640000 	 -0.087835 	 -0.087947 
3.650000 	 -0.087352 	 -0.087467 
3.660000 	 -0.086861 	 -0.086978 
3.670000 	 -0.086361 	 -0.086481 
3.680000 	 -0.085853 	 -0.085975 
3.690000 	 -0.085336 	 -0.085460 
3.700000 	 -0.084810 	 -0.084937 
3.710000 	 -0.084276 	 -0.084406 
3.720000 	 -0.083733 	 -0.083865 
3.730000 	 -0.083183 	 -0.083317 
3.740000 	 -0.082623 	 -0.082760 
3.750000 	 -0.082056 	 -0.082195 
3.760000 	 -0.081480 	 -0.081622 
3.770000 	 -0.080896 	 -0.081041 
3.780000 	 -0.080305 	 -0.080451 
3.790000 	 -0.079705 	 -0.079854 
3.800000 	 -0.079097 	 -0.079248 
3.810000 	 -0.078481 	 -0.078635 
3.820000 	 -0.077857 	 -0.078013 
3.830000 	 -0.077226 	 -0.077384 
3.840000 	 -0.076587 	 -0.076747 
3.850000 	 -0.075940 	 -0.076103 
3.860000 	 -0.075285 	 -0.075451 
3.870000 	 -0.074624 	 -0.074791 
3.880000 	 -0.073954 	 -0.074124 
3.890000 	 -0.073277 	 -0.073450 
3.900000 	 -0.072593 	 -0.072768 
3.910000 	 -0.071902 	 -0.072079 
3.920000 	 -0.071203 	 -0.071382 
3.930000 	 -0.070498 	 -0.070679 
3.940000 	 -0.069785 	 -0.069968 
3.950000 	 -0.069065 	 -0.069251 
3.960000 	 -0.068338 	 -0.068527 
3.970000 	 -0.067605 	 -0.067795 
3.980000 	 -0.066865 	 -0.067057 
3.990000 	 -0.066118 	 -0.066313 
4.000000 	 -0.065364 	 -0.065561 
4.010000 	 -0.064604 	 -0.064803 
