#upper limit 	 trapezoidal 	 simpsons 	 guass_quadrature 
3.305553 	 6.388609 	 6.388627 	 6.389149 
3.315553 	 6.431463 	 6.431483 	 6.432005 
3.325553 	 6.474394 	 6.474411 	 6.474942 
3.335553 	 6.517406 	 6.517424 	 6.517956 
3.345553 	 6.560496 	 6.560511 	 6.561048 
3.355553 	 6.603658 	 6.603678 	 6.604214 
3.365553 	 6.646894 	 6.646913 	 6.647456 
3.375553 	 6.690210 	 6.690226 	 6.690771 
3.385553 	 6.733589 	 6.733606 	 6.734158 
3.395553 	 6.777045 	 6.777065 	 6.777615 
3.405553 	 6.820570 	 6.820588 	 6.821141 
3.415553 	 6.864160 	 6.864178 	 6.864736 
3.425553 	 6.907817 	 6.907841 	 6.908396 
3.435553 	 6.951542 	 6.951562 	 6.952120 
3.445553 	 6.995325 	 6.995347 	 6.995910 
3.455553 	 7.039182 	 7.039196 	 7.039761 
3.465553 	 7.083086 	 7.083104 	 7.083672 
3.475553 	 7.127053 	 7.127065 	 7.127643 
3.485553 	 7.171078 	 7.171095 	 7.171670 
3.495553 	 7.215160 	 7.215184 	 7.215755 
3.505553 	 7.259295 	 7.259314 	 7.259894 
3.515553 	 7.303482 	 7.303504 	 7.304087 
3.525553 	 7.347725 	 7.347745 	 7.348330 
3.535553 	 7.392020 	 7.392040 	 7.392624 
3.545553 	 7.436354 	 7.436373 	 7.436965 
3.555553 	 7.480739 	 7.480758 	 7.481353 
3.565553 	 7.525173 	 7.525192 	 7.525788 
3.575553 	 7.569644 	 7.569664 	 7.570266 
3.585553 	 7.614163 	 7.614179 	 7.614784 
3.595553 	 7.658722 	 7.658739 	 7.659345 
3.605553 	 7.703320 	 7.703338 	 7.703942 
3.615553 	 7.747948 	 7.747962 	 7.748579 
3.625553 	 7.792616 	 7.792638 	 7.793249 
3.635553 	 7.837313 	 7.837339 	 7.837953 
3.645553 	 7.882044 	 7.882061 	 7.882688 
3.655553 	 7.926810 	 7.926825 	 7.927453 
3.665553 	 7.971597 	 7.971617 	 7.972247 
3.675553 	 8.016417 	 8.016440 	 8.017067 
3.685553 	 8.061259 	 8.061279 	 8.061912 
3.695553 	 8.106125 	 8.106147 	 8.106779 
3.705553 	 8.151013 	 8.151036 	 8.151668 
3.715553 	 8.195911 	 8.195932 	 8.196577 
3.725553 	 8.240829 	 8.240856 	 8.241499 
3.735553 	 8.285768 	 8.285788 	 8.286440 
3.745553 	 8.330722 	 8.330744 	 8.331391 
3.755553 	 8.375682 	 8.375703 	 8.376356 
3.765553 	 8.420650 	 8.420671 	 8.421329 
3.775553 	 8.465631 	 8.465649 	 8.466310 
3.785553 	 8.510612 	 8.510641 	 8.511298 
3.795552 	 8.555595 	 8.555619 	 8.556287 
3.805552 	 8.600585 	 8.600607 	 8.601276 
3.815552 	 8.645575 	 8.645597 	 8.646267 
